round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
557,5,2.05,701.2,323.83,0,1,0,41,1
558,0,2.04,46.8,321.25,0,0,1,21,0
559,3,2.06,238.8,321.16,3,0,0,19,0
560,3,2.04,316.8,320.77,3,0,0,19,0
561,2,2.04,364.1,320.01,2,0,0,21,1
562,1,2.04,295.5,320.65,1,0,0,30,0
563,4,2.06,220.4,320.39,4,0,0,15,0
564,1,2.06,474.7,322.19,1,0,0,35,0
565,1,2.04,442.9,322.03,1,0,0,36,0
566,0,2.04,-49.5,321.25,0,0,1,10,0
567,1,2.04,395.0,322.14,1,0,0,25,1
568,0,2.03,158.2,321.92,0,0,0,19,0
569,6,2.05,366.6,322.35,1,1,0,28,0
570,0,2.02,175.4,320.9,0,0,0,25,0
571,2,2.02,437.4,319.87,2,0,0,32,0
572,2,2.02,323.7,320.75,2,0,0,32,0
573,1,2.02,176.6,320.19,1,0,1,25,0
574,1,2.02,74.1,319.77,1,0,1,17,0
575,0,2.01,4.7,318.56,0,0,1,15,0
576,1,2.02,162.4,317.89,1,0,0,25,0
577,0,2.0,247.0,317.9,0,0,0,27,0
578,3,2.02,373.9,317.08,3,0,0,31,1
579,0,2.0,139.8,315.74,0,0,0,25,0
580,6,2.02,445.8,315.3,1,1,1,36,0
581,1,2.02,212.7,315.47,1,0,0,18,0
582,0,2.02,504.6,315.52,0,0,0,32,1
583,2,2.02,269.8,315.88,2,0,1,24,0
584,6,2.04,312.0,315.82,1,1,1,23,0
585,6,2.06,376.3,315.25,1,1,0,23,0
586,1,2.06,401.4,315.86,1,0,0,28,0
587,1,2.07,330.5,316.26,1,0,0,34,0
588,1,2.06,205.4,317.18,1,0,0,25,0
589,3,2.06,266.3,316.25,3,0,0,18,0
590,5,2.06,408.1,316.76,0,1,0,20,1
591,1,2.06,345.1,316.76,1,0,0,25,0
592,1,2.06,148.5,315.67,1,0,0,19,0
593,0,2.06,426.8,316.94,0,0,0,22,1
594,0,2.06,273.1,317.84,0,0,0,27,0
595,0,2.04,-95.3,313.75,0,0,1,8,0
596,1,2.0,153.1,313.01,1,0,0,14,0
